"시점","동별(1)",동별(2),인구 (명),면적 (㎢),인구밀도 (명/㎢)
"2019","합계",소계,10010983,605.24,16541
"2019","합계",종로구,161869,23.91,6769
"2019","합계",중구,136488,9.96,13704
"2019","합계",용산구,245185,21.87,11213
"2019","합계",성동구,308979,16.86,18327
"2019","합계",광진구,366972,17.06,21507
"2019","합계",동대문구,363023,14.22,25537
"2019","합계",중랑구,402024,18.50,21736
"2019","합계",성북구,454744,24.57,18505
"2019","합계",강북구,317695,23.60,13462
"2019","합계",도봉구,335631,20.66,16245
"2019","합계",노원구,537303,35.44,15162
"2019","합계",은평구,484546,29.71,16308
"2019","합계",서대문구,323171,17.63,18335
"2019","합계",마포구,385925,23.85,16180
"2019","합계",양천구,462285,17.41,26559
"2019","합계",강서구,598273,41.44,14438
"2019","합계",구로구,439371,20.12,21837
"2019","합계",금천구,251820,13.02,19341
"2019","합계",영등포구,400986,24.55,16334
"2019","합계",동작구,408912,16.35,25003
"2019","합계",관악구,517334,29.57,17496
"2019","합계",서초구,435107,46.98,9261
"2019","합계",강남구,550209,39.50,13929
"2019","합계",송파구,682741,33.87,20156
"2019","합계",강동구,440390,24.59,179